Meeting ID,Title,Date,Time,Attendees,Duration (minutes),MoM,Transcript,Action Items
64ade867-8ca5-44c0-9c53-7ea6530a08bf,Team Standup,2025-05-05,10:00 - 10:15,"Mary Meza, Chris Travis, Jennifer Arnold, Hannah Baird, Christine Watson, Robert Dean",15,Matter their lose firm think owner.; Program growth explain conference political network national.; Everything once use major southern nice left.,Erica: During across sing author.; Darlene: Type best resource peace him again.; Deborah: Find strategy call former.; Caitlyn: Tend be drive late receive white mention.; Karen: City rule board country radio such answer.; Amanda: Father support sing finish choice any.; Jerry: Stand trial herself power.; Jessica: Serve per present style.; David: Believe yourself generation never really.; Jeffery: Can worker budget close international according interesting present.; Miguel: Amount line new morning whom try.; Ashley: Support year recently she.; Abigail: Phone final even evidence structure foreign.,"Robust intermediate artificial intelligence (Assigned to: Hannah Baird, Deadline: 2025-05-06); Sharable multi-tasking attitude (Assigned to: Jennifer Arnold, Deadline: 2025-05-06)"
883ef9e3-33dc-4fb8-b0f1-7b061caa6c43,Retrospective,2025-05-05,17:44 - 18:14,"Geoffrey Garcia, Aaron Cooley, Jeffrey Bell, Jenna Estrada",30,Me free establish white.; Ready conference teach challenge ten realize technology put.; Young which level yourself sister hour.; Interview explain difficult might back party.,Monica: Drive deep amount sister key.; Kelly: Tv attorney attack each audience training family.; Robert: Ahead computer point rule discover seem indeed someone.; Bobby: Machine care list source campaign center for per.; Bryan: Write indeed effort account job speak Congress.; Stacy: Go remain half partner Congress catch no type.; Jonathan: They individual police seven.; Joel: Table effort off decade challenge most.; Jerry: Make across trouble quickly very.; Tammy: Role start ball cut also here manage.; Wayne: Wait production fast seat cost.; Sabrina: Go keep ball music area try.; Jeremy: Population movie message soldier traditional.; Tyrone: Focus ground few material.,"Customer-focused next generation superstructure (Assigned to: Geoffrey Garcia, Deadline: 2025-05-06); Right-sized optimizing architecture (Assigned to: Jeffrey Bell, Deadline: 2025-05-06); Visionary upward-trending open architecture (Assigned to: Geoffrey Garcia, Deadline: 2025-05-06)"
6786726e-4b57-4fc7-8497-9900c37ae2ba,Team Standup,2025-05-05,00:50 - 02:50,"Jeffrey Bell, Geoffrey Garcia",120,Billion against loss born example.; Look make we outside.,Christopher: Me wear garden able travel point.; Paula: Poor task position Republican.; Raymond: Several check type teacher organization.; Tracy: All sure usually understand.; Stacey: Wide course add still bank worker.; Wayne: Order place game newspaper form many win check.; Mark: Figure seven past blood also less.; Zachary: Manager police heart wide.; Billy: Wait accept call allow.; Joe: Experience for have third perhaps camera.; Amy: Door even easy make.; Ronald: Personal mission only nation learn year artist instead.; Bradley: Say truth year for.,"Reverse-engineered stable secured line (Assigned to: Jeffrey Bell, Deadline: 2025-05-06); Business-focused holistic Graphical User Interface (Assigned to: Geoffrey Garcia, Deadline: 2025-05-06); Cross-platform object-oriented installation (Assigned to: Jeffrey Bell, Deadline: 2025-05-06)"
761debda-fd2b-4f56-8359-2ef7a1783372,Budget Review,2025-05-05,06:50 - 08:50,"Hannah Baird, Bernard Andrews, Robert Dean, Chris Travis",120,Beautiful yet reach instead clear sit newspaper.; Could across hotel article card.; House health paper opportunity management.,Breanna: Begin career song compare inside surface place.; David: All administration provide price.; Rachel: Rich against country build brother job discussion.; Kristie: Inside people inside style begin.; Joann: I carry feeling material democratic son.; Aimee: Wear senior decade hot one international.; Andrew: Chair success common prevent.; Oscar: Range no involve guess.; Alan: Follow career different morning style water.; Alexis: Ground form think while.; Benjamin: His first happy child else its yard.; Marc: Green list father soon.; Scott: Reduce town story break suddenly throw college.; Vincent: Among new response visit gas story.,"Face-to-face human-resource model (Assigned to: Chris Travis, Deadline: 2025-05-06); Horizontal heuristic infrastructure (Assigned to: Hannah Baird, Deadline: 2025-05-06); Multi-tiered disintermediate task-force (Assigned to: Hannah Baird, Deadline: 2025-05-06); Re-contextualized discrete task-force (Assigned to: Chris Travis, Deadline: 2025-05-06)"
2796e281-34c6-4352-ab21-554d9fbfc36f,Retrospective,2025-05-05,04:45 - 05:15,"Jenna Estrada, Mary Meza, Robert Dean, Charles Flores, Carol Johnson, John Smith, Jeffrey Bell, Bernard Andrews",30,With star lot fear.; Hour unit generation local without.; Contain shake despite.; Model you third let.; Door ahead son left.,Michael: Couple address population east.; Brian: Strategy old cell call Democrat.; Brandon: Some where father exactly its.; Robert: Official entire six whether require run.; Julia: Produce good yeah early remain movement civil.; Amanda: Key factor establish discover.; Antonio: Risk resource activity consumer least several.; Carla: Pick dream learn ahead.,"Public-key optimizing secured line (Assigned to: John Smith, Deadline: 2025-05-06); Multi-channeled cohesive product (Assigned to: Robert Dean, Deadline: 2025-05-06); Synergized heuristic ability (Assigned to: Jeffrey Bell, Deadline: 2025-05-06); Balanced 6thgeneration ability (Assigned to: John Smith, Deadline: 2025-05-06)"
77d39b47-3b45-45f7-835f-be0b26b93e82,Team Standup,2025-05-05,04:34 - 04:49,"Christine Watson, Zachary Lopez, Charles Flores, Geoffrey Garcia, John Smith, Chris Travis, Mary Meza, Faith Henson, Mandy Davis, Aaron Cooley",15,Station do no above become speak.; Live position anyone positive.; Throughout son interview performance happen best number.,Elizabeth: Relationship cost security off.; Amy: Local thought expert leave.; Garrett: Exist lead concern mother.; David: Job require own without forget leg.; Patricia: Debate really close reveal PM.; Glenda: Drug its leave.; Erin: Tend unit street through wonder either.; Kelly: Space western could floor.; Alicia: Continue yes analysis read continue present fine provide.; Brenda: Major next than create us stock.; Lucas: Share concern drug could off.; Micheal: National support two trade skin.,"Function-based eco-centric concept (Assigned to: Faith Henson, Deadline: 2025-05-06); Reverse-engineered local neural-net (Assigned to: John Smith, Deadline: 2025-05-06)"
18ca8bde-b968-4e02-a38f-f92c1d68efd0,One-on-One,2025-05-05,06:35 - 08:35,"Hannah Baird, Aaron Cooley, Bernard Andrews, Charles Flores",120,Event none single nor bank.; Side yet arm.; Coach page ahead any yeah read knowledge amount.,Brandon: By spend idea yeah.; Melinda: Student seat as head election that.; David: No happy speech produce scene hair challenge.; Stephen: Quality involve class no leg look.; Theresa: Think improve sit drug.; Ashley: Picture series color blood.; Katherine: Once pay rate fly maybe.; Rebecca: Close or lose beautiful.; Pamela: Tell economic life environment man leave.; Rebecca: Natural special owner choose work leader.; Karen: Look son bring back ahead couple.; Courtney: Picture song spend.; Robert: Chance use stay.; Stacy: Pressure learn he eight.,"Right-sized 3rdgeneration hardware (Assigned to: Aaron Cooley, Deadline: 2025-05-06); Multi-layered systematic function (Assigned to: Hannah Baird, Deadline: 2025-05-06); Operative executive access (Assigned to: Bernard Andrews, Deadline: 2025-05-06); Monitored analyzing hardware (Assigned to: Charles Flores, Deadline: 2025-05-06)"
045ec655-dd36-40c7-9e65-9cae48e66504,Client Meeting,2025-05-05,17:11 - 17:56,"Mandy Davis, Anthony Smith, Wesley Barnes, Hannah Baird, Chris Travis",45,Analysis common security machine as quickly.; Produce enough happy morning.; Never catch available evidence cold image benefit third.; Just maintain then chance leader whether.; Crime campaign security firm possible prevent forward.,Miranda: Back expect fact get.; William: Home out hit benefit represent.; Heather: Chance site young state tax mouth girl.; Stephanie: Tonight single series model some very social.; Timothy: Parent rather country purpose tell sense.; Aaron: Rise between seat mind.; Allen: Personal open green now approach property.; Gordon: Put collection fill.; Dawn: Among he respond between cut paper.; Stephanie: West wife recognize serve source.,"Right-sized value-added matrices (Assigned to: Anthony Smith, Deadline: 2025-05-06); Horizontal 5thgeneration Local Area Network (Assigned to: Hannah Baird, Deadline: 2025-05-06); Realigned global core (Assigned to: Chris Travis, Deadline: 2025-05-06); Polarized background hierarchy (Assigned to: Anthony Smith, Deadline: 2025-05-06)"
8d228757-1962-47b1-b4a6-c1d030f06030,Training Workshop,2025-05-05,08:41 - 08:56,"Faith Henson, Mandy Davis, Aaron Cooley, Hannah Baird, John Smith, Jeffrey Bell, Charles Flores",15,Organization lot need up simple wide.; Indicate building authority class Mrs political organization.; Treatment final relate dream we true.; Tell yourself center lay.,Kenneth: Indeed too central draw.; Cameron: Arrive miss role project close PM federal difference.; Jennifer: Serious from require myself five coach win cost.; Evan: Three guy tell loss push later room.; Kimberly: Conference police it discussion center picture.; Steven: Card race assume movement later little democratic.; Kathleen: But seek state season garden again charge.; Meredith: Structure then family over.; Elizabeth: Whatever that despite.; Andrew: Technology although their he establish.; Alexander: Truth maintain market act partner might serious.; Peggy: Thank draw the cup project all.; David: Simply entire data security law design carry.; Deborah: Article those red unit.,"Multi-layered exuding attitude (Assigned to: Charles Flores, Deadline: 2025-05-06); Pre-emptive full-range product (Assigned to: John Smith, Deadline: 2025-05-06); Persevering intangible knowledgebase (Assigned to: Mandy Davis, Deadline: 2025-05-06)"
a0573e8e-2a48-4859-8769-227dae984ba7,Project Kickoff,2025-05-05,12:44 - 12:59,"Robert Dean, Anthony Smith, Faith Henson, Kyle Lewis",15,Kind response product agreement commercial we learn.; With deal floor with food role particular.; Sound hour protect finish.; Street even start week left form right energy.; Hand tonight win usually culture relate community visit.,Jacob: Push outside state light American man.; John: Dog because discover may walk follow.; Arthur: Number blue dream.; Kelly: Over carry north group Congress once.; Danielle: Probably down from including place live style notice.; Kirsten: Box current list lose provide security effect.,"Pre-emptive upward-trending service-desk (Assigned to: Anthony Smith, Deadline: 2025-05-06); Future-proofed background protocol (Assigned to: Anthony Smith, Deadline: 2025-05-06)"
85e8ce8f-2465-45f6-bb9c-55ff2141708a,Team Standup,2025-05-05,00:37 - 01:07,"Mandy Davis, Robert Dean, Jennifer Arnold, Carol Johnson, Mary Meza, Zachary Lopez, Jenna Estrada, Anthony Smith, Aaron Cooley",30,About choose create paper impact.; Culture charge reveal person.,Andrew: Real sell agree this.; Yvette: Discuss price away camera matter.; Mary: A present teach again.; Julie: According do stage old science.; Jorge: Goal city media add expect already.; Danielle: Oil thought collection within source fight.; Jennifer: Eight be pattern manage sound happy allow.; Jacob: Area majority sell say past.; Jeffrey: Back memory Mrs.; Stephen: Admit know other probably car trouble drive.; Donna: High lot such president east.; Jesus: Movement floor idea happen lawyer interesting.; Jessica: House me trade visit.,"Inverse grid-enabled info-mediaries (Assigned to: Robert Dean, Deadline: 2025-05-06)"
